plot,tree_id,bin_low,bin_high,hag_mid,tree_height_m,CBH_m,n_points,n_wood,n_leaf,wood_frac,leaf_frac,wood_area_m2,total_area_m2,wood_spread_m,intensity_median_wood,intensity_median_all,wood_area_ratio,wood_spread_ratio,intensity_wood_ratio
P01,2,0.0,0.25,0.125,16.45087344542391,11.67,3816,3793,23,0.9939727463312369,0.006027253668763111,0.45000000000000007,0.4700000000000001,0.3333400661357598,9766.0,9766.0,1.6071428571428572,1.265322008174764,1.1515151515151516
P01,2,0.25,0.5,0.375,16.45087344542391,11.67,4053,4053,0,1.0,0.0,0.30000000000000004,0.30000000000000004,0.2656655793450047,8995.0,8995.0,1.0714285714285714,1.008437144255045,1.0606060606060606
P01,2,0.5,0.75,0.625,16.45087344542391,11.67,4525,4525,0,1.0,0.0,0.28,0.28,0.26217894604684444,8481.0,8481.0,1.0,0.9952022700386334,1.0
P01,2,0.75,1.0,0.875,16.45087344542391,11.67,4797,4797,0,1.0,0.0,0.23000000000000004,0.23000000000000004,0.2548576062274058,8224.0,8224.0,0.8214285714285715,0.9674112741639008,0.9696969696969697
P01,2,1.0,1.25,1.125,16.45087344542391,11.67,5114,5114,0,1.0,0.0,0.28,0.28,0.26344287381565834,8481.0,8481.0,1.0,1.0,1.0
P01,2,1.25,1.5,1.375,16.45087344542391,11.67,4948,4947,1,0.9997978981406629,0.00020210185933711156,0.26000000000000006,0.26000000000000006,0.2356597118192571,8481.0,8481.0,0.9285714285714287,0.8945381911683736,1.0
P01,2,1.5,1.75,1.625,16.45087344542391,11.67,5315,5315,0,1.0,0.0,0.24000000000000005,0.24000000000000005,0.24658081234613327,7967.0,7967.0,0.8571428571428572,0.9359934803879943,0.9393939393939394
P01,2,1.75,2.0,1.875,16.45087344542391,11.67,5136,5136,0,1.0,0.0,0.25000000000000006,0.25000000000000006,0.23824618756143956,8481.0,8481.0,0.892857142857143,0.9043561669014819,1.0
P01,2,2.0,2.25,2.125,16.45087344542391,11.67,5495,5494,1,0.999818016378526,0.00018198362147403557,0.22000000000000003,0.23000000000000004,0.24178626639649212,8481.0,8481.0,0.7857142857142857,0.9177939144623808,1.0
P01,2,2.25,2.5,2.375,16.45087344542391,11.67,5231,5231,0,1.0,0.0,0.23000000000000004,0.23000000000000004,0.23166138600900515,8481.0,8481.0,0.8214285714285715,0.8793609887929936,1.0
P01,2,2.5,2.75,2.625,16.45087344542391,11.67,5438,5438,0,1.0,0.0,0.26000000000000006,0.26000000000000006,0.24215542478736798,8481.0,8481.0,0.9285714285714287,0.9191951988681005,1.0
P01,2,2.75,3.0,2.875,16.45087344542391,11.67,4965,4965,0,1.0,0.0,0.24000000000000005,0.24000000000000005,0.22923219559320457,7967.0,7967.0,0.8571428571428572,0.8701400507557765,0.9393939393939394
P01,2,3.0,3.25,3.125,16.45087344542391,11.67,5658,5658,0,1.0,0.0,0.26000000000000006,0.26000000000000006,0.23310705679906776,8738.0,8738.0,0.9285714285714287,0.8848485951538102,1.0303030303030303
P01,2,3.25,3.5,3.375,16.45087344542391,11.67,5274,5274,0,1.0,0.0,0.26000000000000006,0.26000000000000006,0.22439017354694923,8481.0,8481.0,0.9285714285714287,0.8517602708204745,1.0
P01,2,3.5,3.75,3.625,16.45087344542391,11.67,5071,5071,0,1.0,0.0,0.23000000000000004,0.23000000000000004,0.21603471836366134,8224.0,8224.0,0.8214285714285715,0.8200438874457071,0.9696969696969697
P01,2,3.75,4.0,3.875,16.45087344542391,11.67,4867,4867,0,1.0,0.0,0.25000000000000006,0.25000000000000006,0.21920903163641028,7967.0,7967.0,0.892857142857143,0.8320932294027423,0.9393939393939394
P01,2,4.0,4.25,4.125,16.45087344542391,11.67,5145,5145,0,1.0,0.0,0.23000000000000004,0.23000000000000004,0.23161390272462837,7967.0,7967.0,0.8214285714285715,0.8791807474993535,0.9393939393939394
P01,2,4.25,4.5,4.375,16.45087344542391,11.67,5125,5125,0,1.0,0.0,0.25000000000000006,0.25000000000000006,0.23197499869232746,8224.0,8224.0,0.892857142857143,0.8805514278387723,0.9696969696969697
P01,2,4.5,4.75,4.625,16.45087344542391,11.67,4918,4918,0,1.0,0.0,0.25000000000000006,0.25000000000000006,0.21770829072782202,7710.0,7710.0,0.892857142857143,0.8263965829653124,0.9090909090909091
P01,2,4.75,5.0,4.875,16.45087344542391,11.67,5304,5303,1,0.9998114630467572,0.00018853695324283493,0.25000000000000006,0.25000000000000006,0.23378750388265412,8224.0,8224.0,0.892857142857143,0.8874314969940873,0.9696969696969697
P01,2,5.0,5.25,5.125,16.45087344542391,11.67,5001,5001,0,1.0,0.0,0.26000000000000006,0.26000000000000006,0.3706440341581133,7196.0,7196.0,0.9285714285714287,1.4069237432380424,0.8484848484848485
P01,2,5.25,5.5,5.375,16.45087344542391,11.67,5358,5358,0,1.0,0.0,0.24000000000000005,0.24000000000000005,0.23903074954238998,7710.0,7710.0,0.8571428571428572,0.907334277372215,0.9090909090909091
P01,2,5.5,5.75,5.625,16.45087344542391,11.67,4375,4375,0,1.0,0.0,0.23000000000000004,0.23000000000000004,0.22644116194022434,7710.0,7710.0,0.8214285714285715,0.8595455958268752,0.9090909090909091
P01,2,5.75,6.0,5.875,16.45087344542391,11.67,4937,4937,0,1.0,0.0,0.25000000000000006,0.25000000000000006,0.23730823794914724,7967.0,7967.0,0.892857142857143,0.9007958139539635,0.9393939393939394
P01,2,6.0,6.25,6.125,16.45087344542391,11.67,4068,4068,0,1.0,0.0,0.28,0.28,0.2396131949928276,7196.0,7196.0,1.0,0.9095451758565869,0.8484848484848485
P01,2,6.25,6.5,6.375,16.45087344542391,11.67,4685,4685,0,1.0,0.0,0.23000000000000004,0.23000000000000004,0.23479565562560334,7196.0,7196.0,0.8214285714285715,0.8912583294619667,0.8484848484848485
