plot,tree_id,n_points,height_m,CBH_m,dbh_cm,crown_base_height_m_old
P01,2,277024,16.45060339406541,11.67,32.8044508,0.0
P01,3,366094,17.984406391751406,14.52,31.01707418,1.0
P01,4,893183,18.73125702990764,11.23,44.98431851,4.0
P01,6,518763,16.782817988914005,10.34,24.16523578,6.5
P01,7,530199,17.152273721087617,10.66,25.82828778,12.0
P01,10,727683,18.177478937200558,9.39,33.25233192,9.0
P01,12,865277,18.49731018628012,8.66,42.12522658,9.0
P01,15,450729,17.07915478961806,10.76,36.37324473,11.5
P01,16,754434,15.903398968087847,9.87,37.70307005,10.5
P01,17,637682,18.507308901851545,11.89,32.33513707,0.0
P01,18,733004,18.722926772931327,11.2,35.29026894,0.0
P01,19,649164,17.610843657666138,12.16,34.94445277,0.0
P01,20,398303,17.33362381776656,12.65,31.42981352,12.5
P01,21,641467,16.01761859681927,10.81,23.99437838,9.5
P01,23,647310,19.217547128393445,12.96,34.87074994,11.5
P01,24,910375,18.62567967975895,12.15,30.53880657,0.5
P01,25,793248,19.632630158157305,12.45,32.43363301,12.5
P01,26,1501466,18.579347163148206,9.3,42.47924115,8.5
P01,27,317237,17.024761393353998,9.56,30.08182632,0.0
P01,28,454712,16.135806579851735,11.02,22.16557324,7.5
P01,30,464741,17.278590531280724,10.13,30.41195968,6.5
P01,33,488599,18.229839827736587,10.74,28.48180502,10.5
P01,34,999463,17.893853238291257,10.14,38.55821265,8.5
P01,35,896358,17.538218203719506,11.45,34.77920076,0.0
P01,36,834935,17.67739654590521,12.07,32.91834972,0.0
P01,37,740779,18.58584035158437,10.87,32.5439967,0.0
P01,38,870697,18.19773971919833,10.88,36.06609369,8.5
P01,39,732886,17.992912064319494,10.67,30.9393943,12.0
P01,42,355002,16.430972545298655,11.84,28.20713244,11.5
P01,43,508740,18.181548673773136,10.52,38.16782523,8.5
P01,44,425333,17.23387965496136,11.15,35.14535461,8.0
P01,48,494418,17.277773167065334,12.3,26.8312772,13.0
P02,4,729740,14.646960398891023,8.67,28.18248964,8.5
P02,6,653998,15.657805912839704,9.94,38.67797753,9.5
P02,7,449571,13.998189336498571,9.75,24.86770935,8.5
P02,8,689343,15.572318342531048,8.14,27.6222418,6.5
P02,12,674586,17.059196374039384,11.31,38.02332183,1.0
P02,13,691058,15.33853416064121,8.8,25.78600937,7.5
P02,15,726781,15.65161130497522,8.37,31.37189381,7.5
P02,17,727103,15.555584198665237,10.79,40.43567074,9.5
P02,19,440799,16.691020167827862,10.95,44.07681576,12.0
P02,20,779241,15.397697146485466,10.58,31.59457092,11.0
P02,22,1132400,16.620441116261734,10.4,45.39644221,11.0
P02,23,1015748,15.992078712774068,10.4,28.3403616,10.5
P02,24,940746,15.096489908152924,9.82,24.5630083,10.0
P02,25,764805,15.39146944527563,9.95,27.8752529,5.0
P02,26,1139879,15.599534149203476,9.2,38.3370139,8.5
P02,27,425389,15.20275735989028,11.93,27.55612137,11.5
P02,28,270271,16.266603970479153,12.16,41.03655199,12.0
P02,29,969779,15.831179258738512,11.37,47.78318054,11.0
P02,30,2002710,14.854839769061547,9.49,23.2779879,0.0
P02,31,803710,17.95709444985735,13.37,47.71298776,12.0
P02,32,1241731,17.590340833540886,11.62,48.44910203,11.0
P02,33,1077273,17.369570576985012,12.22,43.87245577,12.0
P02,37,1254091,16.834597682352378,11.67,43.80896952,10.5
P02,39,667378,15.545034714590617,10.65,33.73725456,10.0
P02,41,656584,15.346352794361358,10.07,36.79894315,8.0
P02,44,384273,17.60274029656617,12.25,47.04442536,12.5
